Variable_name	Value
Innodb_mutex_spin_rounds	24609269858
Innodb_mutex_spin_waits	19736145870
Innodb_oldest_view_low_limit_trx_id	294030931
Innodb_os_log_fsyncs	907276
Innodb_os_log_pending_fsyncs	0
Innodb_os_log_pending_writes	0
Innodb_os_log_written	127193278976
Innodb_page_size	16384
Innodb_pages_created	5408690
Innodb_pages_read	7125230
Innodb_pages_written	30427573
Innodb_purge_trx_id	294030962
Innodb_purge_undo_no	0
Innodb_row_lock_current_waits	10
Innodb_current_row_locks	25064
Innodb_row_lock_time	304079713
Innodb_row_lock_time_avg	358
Innodb_row_lock_time_max	501823
Innodb_row_lock_waits	847334
Innodb_rows_deleted	1446015
Innodb_rows_inserted	17292634
Innodb_rows_read	891952691521
Innodb_rows_updated	5411212
Innodb_read_views_memory	301584
Innodb_descriptors_memory	8000
Innodb_s_lock_os_waits	5864815
Innodb_s_lock_spin_rounds	1584051476
Innodb_s_lock_spin_waits	468108426
Innodb_truncated_status_writes	0
Innodb_x_lock_os_waits	2601863
Innodb_x_lock_spin_rounds	1689421283
Innodb_x_lock_spin_waits	87105055
Key_blocks_not_flushed	0
Key_blocks_unused	6668
Key_blocks_used	30
Key_read_requests	424477
Key_reads	30
Key_write_requests	5143
Key_writes	5139
Last_query_cost	0.000000
Max_used_connections	476
Not_flushed_delayed_rows	0
Open_files	70
Open_streams	0
Open_table_definitions	134
Open_tables	1100
Opened_files	101421441
Opened_table_definitions	0
Opened_tables	0
Performance_schema_cond_classes_lost	0
Performance_schema_cond_instances_lost	0
Performance_schema_file_classes_lost	0
Performance_schema_file_handles_lost	0
Performance_schema_file_instances_lost	0
Performance_schema_locker_lost	0
Performance_schema_mutex_classes_lost	0
Performance_schema_mutex_instances_lost	0
Performance_schema_rwlock_classes_lost	0
Performance_schema_rwlock_instances_lost	0
Performance_schema_table_handles_lost	0
Performance_schema_table_instances_lost	0
Performance_schema_thread_classes_lost	0
Performance_schema_thread_instances_lost	0
Prepared_stmt_count	0
Qcache_free_blocks	0
Qcache_free_memory	0
Qcache_hits	0
Qcache_inserts	0
Qcache_lowmem_prunes	0
Qcache_not_cached	0
Qcache_queries_in_cache	0
Qcache_total_blocks	0
Queries	3354109032
Questions	2
Rpl_status	AUTH_MASTER
Select_full_join	0
Select_full_range_join	0
Select_range	0
Select_range_check	0
Select_scan	0
Slave_heartbeat_period	0.000
Slave_open_temp_tables	0
Slave_received_heartbeats	0
Slave_retried_transactions	0
Slave_running	OFF
Slow_launch_threads	0
Slow_queries	0
Sort_merge_passes	0
Sort_range	0
Sort_rows	0
Sort_scan	0
Ssl_accept_renegotiates	0
Ssl_accepts	0
Ssl_callback_cache_hits	0
Ssl_cipher	
Ssl_cipher_list	
Ssl_client_connects	0
Ssl_connect_renegotiates	0
Ssl_ctx_verify_depth	0
Ssl_ctx_verify_mode	0
Ssl_default_timeout	0
Ssl_finished_accepts	0
Ssl_finished_connects	0
Ssl_session_cache_hits	0
Ssl_session_cache_misses	0
Ssl_session_cache_mode	NONE
Ssl_session_cache_overflows	0
Ssl_session_cache_size	0
Ssl_session_cache_timeouts	0
Ssl_sessions_reused	0
Ssl_used_session_cache_entries	0
Ssl_verify_depth	0
Ssl_verify_mode	0
Ssl_version	
Table_locks_immediate	630972906
Table_locks_waited	56919420
Tc_log_max_pages_used	0
Tc_log_page_size	0
Tc_log_page_waits	2
Threadpool_idle_threads	0
Threadpool_threads	0
Threads_cached	113
Threads_connected	363
Threads_created	1049
Threads_running	22
Uptime	696997
Uptime_since_flush_status	696997
binlog_commits	21258990
binlog_group_commits	21249471
